match_id,date,venue,innings,batting_team,bowling_team,over,ball,over_ball,batsman,non_striker,bowler,runs_batsman,extras,total_runs,is_wicket,dismissal_type,current_score,wickets,ball_number,balls_left,innings_total,first_total,is_chasing,required_runs,required_rr,current_rr,pressure_index,runs_last_6,runs_last_12,player_runs_match,form_5,runs,balls,outs,vs_sr,vs_avg,bowler_type,venue_avg,runs_next_36,target_50
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,2,3,2.3,JR Philippe,D Padikkal,Sandeep Sharma,4,0,4,0,,12,0,15,105,120,120,0,108,6.171428571428572,4.8,1.2857142857142858,8.0,11.0,32,16.5,8,9,0,88.88888888888889,8.0,pace,1.1261682242990654,13.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,2,4,2.4,JR Philippe,D Padikkal,Sandeep Sharma,1,0,1,0,,13,0,16,104,120,120,0,107,6.173076923076923,4.875,1.2662721893491125,9.0,12.0,32,16.5,8,9,0,88.88888888888889,8.0,pace,1.1261682242990654,13.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,2,5,2.5,D Padikkal,JR Philippe,Sandeep Sharma,0,0,0,1,bowled,13,1,17,103,120,120,0,107,6.233009708737864,4.588235294117647,1.3584764749813294,9.0,11.0,5,30.5,16,18,1,88.88888888888889,16.0,pace,1.1261682242990654,13.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,2,6,2.6,V Kohli,JR Philippe,Sandeep Sharma,0,0,0,0,,13,1,18,102,120,120,0,107,6.294117647058823,4.333333333333333,1.4524886877828056,5.0,10.0,7,10.5,11,13,1,84.61538461538461,11.0,pace,1.1261682242990654,14.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,3,1,3.1,JR Philippe,V Kohli,JO Holder,0,1,1,0,,14,1,19,101,120,120,0,106,6.297029702970297,4.421052631578948,1.4243281471004243,6.0,11.0,32,16.5,6,6,0,100.0,6.0,pace,1.1261682242990654,15.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,3,2,3.2,JR Philippe,V Kohli,JO Holder,1,0,1,0,,15,1,20,100,120,120,0,105,6.3,4.5,1.4,7.0,11.0,32,16.5,6,6,0,100.0,6.0,pace,1.1261682242990654,17.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,3,3,3.3,V Kohli,JR Philippe,JO Holder,2,0,2,0,,17,1,21,99,120,120,0,103,6.242424242424242,4.857142857142857,1.285204991087344,5.0,13.0,7,10.5,8,9,2,88.88888888888889,4.0,pace,1.1261682242990654,18.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,3,4,3.4,V Kohli,JR Philippe,JO Holder,1,0,1,0,,18,1,22,98,120,120,0,102,6.244897959183674,4.909090909090909,1.272108843537415,5.0,14.0,7,10.5,8,9,2,88.88888888888889,4.0,pace,1.1261682242990654,19.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,3,5,3.5,JR Philippe,V Kohli,JO Holder,0,1,1,0,,19,1,23,97,120,120,0,101,6.24742268041237,4.956521739130435,1.2604449267498643,6.0,15.0,32,16.5,6,6,0,100.0,6.0,pace,1.1261682242990654,20.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,3,6,3.6,V Kohli,JR Philippe,JO Holder,1,0,1,0,,20,1,24,96,120,120,0,100,6.25,5.0,1.25,7.0,12.0,7,10.5,8,9,2,88.88888888888889,4.0,pace,1.1261682242990654,24.0,0
