batsman,bowler,runs,balls,average,strike_rate,dismissals
P Simran Singh,Mohammed Shami,0,2,0.0,0.0,1
MW Short,Mohammed Shami,18,11,18.0,163.63636363636365,0
S Dhawan,J Little,8,9,8.0,88.88888888888889,1
PBB Rajapaksa,J Little,3,5,3.0,60.0,0
MW Short,J Little,7,6,7.0,116.66666666666667,0
MW Short,AS Joseph,10,8,10.0,125.0,0
MW Short,Rashid Khan,1,2,1.0,50.0,1
JM Sharma,AS Joseph,3,8,3.0,37.5,0
PBB Rajapaksa,MM Sharma,8,8,8.0,100.0,0
JM Sharma,Mohammed Shami,9,5,9.0,180.0,0
SM Curran,AS Joseph,3,5,3.0,60.0,0
M Shahrukh Khan,AS Joseph,6,1,6.0,600.0,0
SM Curran,Mohammed Shami,6,3,6.0,200.0,0
M Shahrukh Khan,MM Sharma,5,3,5.0,166.66666666666669,0
M Shahrukh Khan,J Little,2,3,2.0,66.66666666666666,1
Harpreet Brar,J Little,7,3,7.0,233.33333333333334,0
R Dhawan,J Little,1,1,1.0,100.0,0
B Sai Sudharsan,MW Short,6,4,6.0,150.0,0
Shubman Gill,MW Short,2,2,2.0,100.0,0
HH Pandya,Harpreet Brar,2,3,2.0,66.66666666666666,1
DA Miller,Harpreet Brar,2,2,2.0,100.0,0
DA Miller,RD Chahar,3,3,3.0,100.0,0
DA Miller,SM Curran,4,5,4.0,80.0,0
DA Miller,Arshdeep Singh,3,4,3.0,75.0,0
